error,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,AVERAGE,
PapamoscasElastic,0.005376344086021506,0.07051282051282051,0.006640625,0.02487373737373737,0.06877240143369176,0.000908119658119658,0.018368055555555558,0,0.04345238095238095,0.026255144032921812,0.04699074074074074,0.03777777777777778,0.027819865319865317,0.029057539418740994,
PapamoscasElasticOnlyOneLevel,0.06944444444444443,0.002564102564102564,0.10203993055555556,0.035101010101010105,0.07078853046594982,0.021741452991452987,0.05951388888888889,0,0.019268077601410933,0.032839506172839504,0.13784722222222223,0.12609375,0.023737373737373738,0.053921483826557745,
PapamoscasElasticOnlyOneLevelPreProvisioned,0,0,0.00017361111111111112,0,0,0,0,0,0.0001984126984126984,0.0001234567901234568,0.0002314814814814815,0,0,0.00005592016008682675,
t1,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,AVERAGE,
PapamoscasElastic,99.55553171167004,98.37525501505657,99.6663275265527,99.3649954956577,95.68469021661893,99.92048978401412,98.22433129644985,100,97.74516640487137,97.67764897530351,98.10951524857835,96.01142188510734,99.0305579138311,98.41276395951627,
PapamoscasElasticOnlyOneLevel,95.20511836209934,99.99450079231852,96.2514954617949,98.8260967391348,95.09038798369598,99.82586992590264,96.85910826260904,100,99.40001126468519,97.54691331160247,92.44207073602178,94.14710597937204,99.81389333695313,97.33865939662998,
PapamoscasElasticOnlyOneLevelPreProvisioned,99.99660130146881,100,99.97539321039164,99.99100633886815,50,99.99803435258212,99.99412597221104,99.93966565206328,100,100,99.72298852530555,99.99292621191276,99.941164144604,96.11937736226211,
t2,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,AVERAGE,
PapamoscasElastic,99.56161974684765,97.1828419204159,99.66846555367142,99.30710656623476,96.06919649654327,99.96391779821231,98.25512305418891,100,98.44633492277356,98.22502383013921,98.05998207650873,96.36068148866626,99.05172690474772,98.47323233530382,
PapamoscasElasticOnlyOneLevel,94.94397089721232,99.9981684981685,96.19757300094807,98.79927527190364,95.42426819797328,99.84575838205599,97.22018391059963,100,99.46098392921431,97.33116513947262,90.52270126369078,94.06512125845686,99.7956067307769,97.20036742157484,
PapamoscasElasticOnlyOneLevelPreProvisioned,100,100,99.97598212312789,99.95471098755445,49.98099179922195,99.96289727237593,99.99581090184726,100,99.66078058435238,99.39855372194046,99.85988995036215,100,100,96.06073979544482,
cost,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,AVERAGE,
PapamoscasElastic,0.00020758814981006095,0.0002030612244897953,0.00021313549758377958,0.00020906015222144127,0.0002139928909952618,0.00020437239780685874,0.00021567299732845225,0.00020724293061498322,0.00020574898785425327,0.00021255858356828986,0.0002040871369294629,0.00022270533410530092,0.00020795275564287267,0.00020978300299621637,
PapamoscasElasticOnlyOneLevel,0.00014289124487004413,0.0001342857142857148,0.00015162762980722353,0.00014651615749143135,0.00014476300267769464,0.00013415149907144668,0.00014822601859916775,0.0001448454545454546,0.00014373811060393302,0.00014121291405924628,0.00013041782729805018,0.0001448386669948129,0.000140186352470311,0.00014213081482881005,
PapamoscasElasticOnlyOneLevelPreProvisioned,0.0002700000000000001,0.0002699999999999995,0.00026999999999999914,0.0002699999999999982,0.0002699999999999982,0.0002699999999999982,0.0002699999999999982,0.0002699999999999995,0.00026999999999999914,0.00026999999999999914,0.00026999999999999914,0.00026999999999999746,0.00026999999999999746,0.00026999999999999865,
